session_file,date,distance_km,duree_min,fc_moyenne,fc_max,vitesse_moy,cadence_moy,allure_min_km,month_year
469673255802798087.fit,2025-06-11,5.095,20.35,158.8911620294599,177.0,15.001199999999997,81.55980066445183,3.9996800255979528,2025-06
469695205767938067.fit,2025-06-12,2.4,10.65,158.025,167.0,13.624340624999999,81.68652037617555,4.403882848458951,2025-06
469695530574839809.fit,2025-06-12,2.862,10.783333333333333,165.29320987654322,178.0,16.141533333333335,82.80124223602485,3.717118984978709,2025-06
469718725010948104.fit,2025-06-13,4.842,20.75,161.8314606741573,170.0,13.953389085072232,81.73268921095008,4.300030597167957,2025-06
469791307273895938.fit,2025-06-16,12.012,45.016666666666666,172.3301258327165,189.0,16.026653737971873,83.94848035581913,3.7437634194243734,2025-06
469807472454959116.fit,2025-06-17,4.344,20.016666666666666,144.3261231281198,154.0,12.999600000000001,81.1258445945946,4.615526631588664,2025-06
469879120833052681.fit,2025-06-20,7.454,29.783333333333335,166.5397091722595,174.0,15.0012,82.00225988700565,3.999680025597952,2025-06
469881397163622403.fit,2025-06-20,3.681,15.35,177.5656894679696,188.0,14.310828664495114,83.9629225736096,4.1926293303237445,2025-06
469881397971025923.fit,2025-06-20,7.071,27.983333333333334,178.66190476190476,189.0,15.187755000000001,84.32040572792363,3.9505509537123817,2025-06
469902069380186130.fit,2025-06-21,9.825,45.31666666666667,154.67610294117648,167.0,12.999600000000001,80.24464153732447,4.615526631588664,2025-06
469924680503951369.fit,2025-06-22,5.391,24.85,150.35254691689008,172.0,12.999600000000001,80.50807537012113,4.615526631588664,2025-06
469967964108521479.fit,2025-06-24,8.108,33.38333333333333,173.5484194681385,181.0,14.651232313095836,82.92760180995475,4.095218662690216,2025-06
469975543652057111.fit,2025-06-24,4.659,23.45,166.90536277602524,194.0,13.222007886435332,74.4248417721519,4.537888686449428,2025-06
469975543654154257.fit,2025-06-24,2.653,11.55,159.13832853025937,166.0,13.627639193083573,83.85072463768115,4.40281688925634,2025-06
470128043445223426.fit,2025-07-01,3.777,66.21666666666667,164.57379310344828,196.0,9.29577351724138,73.67726330338631,6.454546239612521,2025-07
470156405263859725.fit,2025-07-02,6.096,32.266666666666666,152.34558420186505,169.0,12.074988480526605,79.68609125893347,4.968948839724551,2025-07
470227566427406348.fit,2025-07-05,5.528,23.083333333333332,164.4054834054834,179.0,14.327275324675327,81.97250361794501,4.187816499670685,2025-07
470230629278056454.fit,2025-07-05,3.13,14.416666666666666,153.90762124711316,162.0,12.999600000000001,81.31529411764706,4.615526631588664,2025-07
470243953071915013.fit,2025-07-06,4.306,18.383333333333333,160.8713768115942,174.0,14.043851086956522,82.83454545454545,4.272332398605826,2025-07
470317570958852299.fit,2025-07-09,2.82,11.25,156.61094674556213,169.0,15.0012,82.32878787878788,3.999680025597952,2025-07
470329190458097863.fit,2025-07-09,4.506,49.6,133.09558823529412,169.0,13.230555882352942,65.7172131147541,4.534956847884876,2025-07
470344482955493479.fit,2025-07-10,7.591,30.316666666666666,169.2401098901099,197.0,15.001199999999999,81.69303097345133,3.9996800255979523,2025-07
470364214840557867.fit,2025-07-11,6.92,27.65,162.06807228915662,173.0,15.001199999999999,80.43248175182482,3.9996800255979523,2025-07
470414919347503205.fit,2025-07-13,14.454,57.78333333333333,171.72347174163784,185.0,15.001199999999999,81.37355324074075,3.9996800255979523,2025-07
470429464252154157.fit,2025-07-14,9.345,40.18333333333333,165.7819392426134,191.0,14.030615730337079,82.6640266777824,4.276362574043536,2025-07
470530566710657425.fit,2025-07-18,13.408,53.583333333333336,162.7742537313433,173.0,15.001199999999999,81.53658536585365,3.9996800255979523,2025-07
470573187818619382.fit,2025-07-20,10.024,42.25,166.95031545741324,196.0,14.270421293375394,83.39139020537125,4.2045009580658395,2025-07
470714034289672294.fit,2025-07-26,8.684,40.05,144.32945091514142,152.0,12.999600000000001,80.78056951423785,4.615526631588664,2025-07
470717624343363686.fit,2025-07-26,9.906,40.11666666666667,165.67234219269102,187.0,14.874661794019936,84.02078137988363,4.033705157862602,2025-07
470732571097989225.fit,2025-07-27,3.17,12.983333333333333,164.1397435897436,174.0,14.570889230769232,83.94458762886597,4.117799473301772,2025-07
470732571097989226.fit,2025-07-27,6.228,25.0,169.6215856095936,194.0,14.99733857428381,79.95663775850566,4.000709839469985,2025-07
470762303009095783.fit,2025-07-28,12.023,52.55,160.04692454026633,174.0,13.75444717818643,82.68654822335026,4.362225484071487,2025-07
470803674281574802.fit,2025-07-30,5.448,25.116666666666667,138.6180371352785,145.0,12.999600000000001,80.962,4.615526631588664,2025-07
470853047614996583.fit,2025-08-01,6.929,27.683333333333334,159.43020457280386,170.0,15.001199999999999,82.82345828295043,3.9996800255979523,2025-08
470879557765857380.fit,2025-08-02,13.053,60.21666666666667,152.96541228555617,166.0,12.999600000000001,80.30560177481975,4.615526631588664,2025-08
470947536629170177.fit,2025-08-05,15.104,69.68333333333334,162.18675274988044,174.0,12.999600000000001,81.29276473406804,4.615526631588664,2025-08
470971577974947843.fit,2025-08-06,2.311,10.65,152.653125,163.0,12.96680625,84.45911949685535,4.627199546534444,2025-08
470993972204962196.fit,2025-08-07,8.157,37.61666666666667,152.18113374667848,161.0,12.999600000000001,81.1467971530249,4.615526631588664,2025-08
471039658843734118.fit,2025-08-09,4.336,19.983333333333334,156.82833333333335,166.0,12.999600000000001,76.9748743718593,4.615526631588664,2025-08
471127771442085987.fit,2025-08-13,6.036,26.083333333333332,169.54214559386972,184.0,13.800988505747128,82.71062740076825,4.34751467077987,2025-08
471132506104562067.fit,2025-08-13,13.032,60.11666666666667,156.53741685144124,162.0,12.999600000000001,81.1147859922179,4.615526631588664,2025-08
471172133622415361.fit,2025-08-15,13.024,60.083333333333336,153.4287298946201,162.0,12.9996,81.73361111111112,4.615526631588665,2025-08
471227057393664200.fit,2025-08-17,7.554,30.183333333333334,161.80077262693158,173.0,15.0012,80.9771714922049,3.999680025597952,2025-08
471248616250441833.fit,2025-08-18,15.234,70.23333333333333,155.61684460260972,164.0,12.999600000000001,80.65503323836657,4.615526631588664,2025-08
471296398566916498.fit,2025-08-20,4.787,19.116666666666667,153.705574912892,159.0,15.001199999999999,81.47368421052632,3.9996800255979523,2025-08
471339165710057776.fit,2025-08-22,15.162,60.61666666666667,164.2355689939527,175.0,15.001199999999999,81.83333333333333,3.9996800255979523,2025-08
471364173425574191.fit,2025-08-23,21.503,99.21666666666667,149.16543500167955,159.0,12.999600000000001,80.11903160726294,4.615526631588664,2025-08
471377911952212372.fit,2025-08-24,11.568,50.583333333333336,161.1251646903821,178.0,13.720316205533596,82.63381674357284,4.373077056037612,2025-08
471410090652500172.fit,2025-08-25,10.029,40.083333333333336,165.33416458852867,177.0,15.001199999999999,82.12166666666667,3.9996800255979523,2025-08
471456577761607884.fit,2025-08-27,8.684,40.05,154.62312811980033,161.0,12.999600000000001,81.90658882402002,4.615526631588664,2025-08
471480488112980070.fit,2025-08-28,7.362,29.416666666666668,165.75877689694224,177.0,15.001199999999999,82.29522184300342,3.9996800255979523,2025-08
471522000051929291.fit,2025-08-30,4.488,20.683333333333334,161.01288244766505,170.0,12.999600000000001,81.43181818181819,4.615526631588664,2025-08
471540107896193027.fit,2025-08-31,4.55,22.383333333333333,152.73883928571428,165.0,12.297642857142856,83.05597014925372,4.878983777378941,2025-08
471540764764045615.fit,2025-08-31,4.878,15.566666666666666,169.0909090909091,198.0,18.814431657754014,87.6812834224599,3.189041321653324,2025-08
471573660992307401.fit,2025-09-01,10.279,41.083333333333336,172.11151662611516,198.0,15.001199999999999,82.4686737184703,3.9996800255979523,2025-09
471595163477639172.fit,2025-09-02,21.525,99.31666666666666,156.68036912751677,168.0,12.999600000000001,81.0895497311828,4.615526631588664,2025-09
471619777398341734.fit,2025-09-03,11.927,55.016666666666666,168.91278013325257,181.0,12.999600000000001,81.9554004854369,4.615526631588664,2025-09
471644126373249227.fit,2025-09-04,9.529,43.95,162.3210765731615,169.0,12.999600000000001,81.55015197568389,4.615526631588664,2025-09
471710093044383753.fit,2025-09-07,6.561,30.25,153.77092511013217,159.0,12.999600000000001,81.39613259668508,4.615526631588664,2025-09
471729414223200363.fit,2025-09-08,14.001,59.35,167.27288087862573,194.0,14.169478344128414,82.56466610312764,4.234453699903706,2025-09
471736352468140534.fit,2025-09-08,13.017,60.05,154.64789123196448,164.0,12.999600000000001,80.16342412451363,4.615526631588664,2025-09
471783214319436277.fit,2025-09-10,8.778,40.483333333333334,157.38230452674898,163.0,12.999600000000001,80.80800990916597,4.615526631588664,2025-09
471852802191163395.fit,2025-09-13,2.56,11.75,143.72478386167148,154.0,12.84867492795389,83.51014492753623,4.669742236957255,2025-09
471853592196710503.fit,2025-09-13,11.47,45.85,167.38735465116278,178.0,15.0012,81.1471877282688,3.999680025597952,2025-09
471854592380928000.fit,2025-09-13,2.395,11.25,141.41863905325442,154.0,12.740384023668641,82.8293768545994,4.709434180989685,2025-09
471867979525554379.fit,2025-09-14,2.579,11.783333333333333,149.69985775248932,158.0,13.10908506401138,82.13714285714286,4.576978462419101,2025-09
471867979525554380.fit,2025-09-14,3.715,17.116666666666667,149.1916996047431,163.0,12.999600000000001,79.73895582329317,4.615526631588664,2025-09
471868725239250949.fit,2025-09-14,2.432,10.783333333333333,158.70833333333334,176.0,13.384350000000001,82.37732919254658,4.482847504735007,2025-09
471944164198612995.fit,2025-09-17,8.444,35.75,161.32246039142592,174.0,14.260499161230197,81.68534080298787,4.207426354550133,2025-09
472015872167280842.fit,2025-09-20,9.468,43.65,146.69097222222223,155.0,12.999600000000003,81.73333333333333,4.615526631588663,2025-09
472060623042150599.fit,2025-09-22,8.178,37.71666666666667,151.96716149347728,166.0,12.999600000000001,81.48352144469526,4.615526631588664,2025-09
